asset,type,date,amount,price
Bitcoin,buy,2025-01-12,0.05,3550000
Ethereum,buy,2025-01-15,0.7,210000
Solana,sell,2025-01-18,15,8500
Cardano,buy,2025-01-20,1000,45
Ripple,buy,2025-01-22,500,52
Bitcoin,sell,2025-01-25,0.02,3600000
Dogecoin,buy,2025-01-28,20000,12
Ethereum,sell,2025-02-01,0.3,220000
Chainlink,buy,2025-02-05,50,1500
Polkadot,buy,2025-02-08,200,650
Bitcoin,buy,2025-02-10,0.03,3400000
Solana,buy,2025-02-14,20,8300
Cardano,sell,2025-02-18,500,48
Ethereum,buy,2025-02-20,0.5,215000
Ripple,sell,2025-02-24,300,55
Litecoin,buy,2025-02-28,10,11000
Bitcoin,sell,2025-03-02,0.04,3700000
Avalanche,buy,2025-03-05,30,3200
Ethereum,buy,2025-03-08,0.4,225000
Solana,sell,2025-03-12,10,8800
Cardano,buy,2025-03-15,800,47
Polygon,buy,2025-03-18,1500,80
Bitcoin,buy,2025-03-20,0.06,3650000
Ethereum,sell,2025-03-24,0.6,230000
Ripple,buy,2025-03-28,600,53
Uniswap,buy,2025-04-01,100,900
Bitcoin,sell,2025-04-04,0.025,3800000
Solana,buy,2025-04-08,25,9000
Ethereum,buy,2025-04-12,0.8,235000
Cardano,sell,2025-04-16,700,50
Dogecoin,sell,2025-04-20,15000,14
Bitcoin,buy,2025-04-22,0.045,3750000
Chainlink,sell,2025-04-26,30,1600
Ethereum,buy,2025-04-30,0.35,240000
Polkadot,sell,2025-05-04,100,700
Bitcoin,sell,2025-05-08,0.035,3900000
Solana,buy,2025-05-12,18,9200
Litecoin,sell,2025-05-16,5,12000
Ethereum,buy,2025-05-20,0.55,245000
Avalanche,sell,2025-05-24,20,3500
Bitcoin,buy,2025-05-28,0.055,3850000
Polygon,sell,2025-06-02,1000,85
Cardano,buy,2025-06-06,1200,49
Ethereum,sell,2025-06-10,0.7,250000
Ripple,buy,2025-06-14,800,58
Bitcoin,buy,2025-06-18,0.07,3950000
Solana,sell,2025-06-22,30,9500
Ethereum,buy,2025-06-26,0.9,255000
Dogecoin,buy,2025-06-30,25000,11
Uniswap,sell,2025-07-04,50,1000
Bitcoin,sell,2025-07-08,0.06,4100000
Ethereum,buy,2025-07-12,1.1,260000
Cardano,sell,2025-07-16,1500,54
Chainlink,buy,2025-07-20,70,1700
Bitcoin,buy,2025-07-24,0.08,4050000
Solana,buy,2025-07-28,40,9800
Ethereum,sell,2025-08-01,1.2,270000
Ripple,sell,2025-08-05,1000,60
Polkadot,buy,2025-08-09,300,750
Bitcoin,sell,2025-08-13,0.09,4200000
Avalanche,buy,2025-08-17,50,3800
Ethereum,buy,2025-08-21,1.3,265000
Polygon,buy,2025-08-25,2000,90
Bitcoin,buy,2025-08-29,0.1,4150000
Solana,sell,2025-09-02,50,10500
Ethereum,sell,2025-09-06,1.5,280000
Cardano,buy,2025-09-10,2000,56
Litecoin,buy,2025-09-14,20,13000
Bitcoin,sell,2025-09-18,0.12,4300000
Dogecoin,buy,2025-09-22,30000,13
Ethereum,buy,2025-09-26,1.8,275000
Ripple,buy,2025-09-30,1500,62
Bitcoin,buy,2025-10-04,0.15,4250000
Chainlink,sell,2025-10-08,80,1800
Ethereum,sell,2025-10-12,2,290000
Solana,buy,2025-10-16,60,11000
Uniswap,buy,2025-10-20,150,1100
Bitcoin,sell,2025-10-24,0.18,4400000
Cardano,sell,2025-10-28,2500,60
Ethereum,buy,2025-11-01,2.2,285000
Avalanche,sell,2025-11-05,60,4000
Bitcoin,buy,2025-11-09,0.2,4350000
Polygon,sell,2025-11-13,2500,95
Ethereum,sell,2025-11-17,2.5,300000
Solana,sell,2025-11-21,70,11500
Ripple,sell,2025-11-25,2000,65
Bitcoin,buy,2025-11-29,0.25,4500000
Dogecoin,sell,2025-12-03,40000,15
Ethereum,buy,2025-12-07,3,295000
Cardano,buy,2025-12-11,3000,62
Litecoin,sell,2025-12-15,25,14000
Bitcoin,sell,2025-12-19,0.3,4600000
Chainlink,buy,2025-12-23,100,1900
Ethereum,sell,2025-12-27,3.5,310000
Polkadot,sell,2025-12-31,400,800
